# Undirected graph (each unordered pair of nodes is saved once): sample.txt
# Nodes: 65 Edges: 212
# NodeId	NodeId
0	1
0	12
0	14
0	29
0	33
0	45
0	62
1	10
1	15
1	18
1	27
1	29
1	53
2	23
2	29
3	29
4	29
4	35
5	50
6	8
6	23
6	29
6	35
6	37
6	53
6	64
7	29
7	30
7	35
7	53
7	60
7	64
8	16
8	18
8	23
8	29
8	31
8	35
8	45
8	62
8	64
9	10
9	19
9	29
9	30
9	35
9	49
9	64
10	14
10	29
10	30
10	35
10	53
10	59
10	64
11	29
11	48
12	18
12	29
12	30
12	61
13	15
13	29
13	30
14	15
14	16
14	29
14	30
14	35
14	48
14	54
14	56
14	58
14	59
14	63
15	29
15	30
15	48
15	56
15	58
15	59
15	64
16	29
16	30
16	31
16	39
16	63
17	61
18	19
18	25
18	29
19	20
19	23
19	29
19	30
19	51
19	53
19	55
20	23
20	26
20	29
20	30
20	35
20	36
20	37
20	53
20	64
21	29
22	23
22	29
22	30
22	45
22	53
23	29
23	35
23	37
23	38
23	39
23	40
23	45
23	47
23	48
23	53
23	56
24	29
24	35
24	45
26	29
26	37
26	42
26	43
26	45
26	53
26	62
28	29
29	30
29	33
29	35
29	37
29	42
29	44
29	45
29	48
29	49
29	53
29	54
29	55
29	59
29	60
29	62
29	63
29	64
30	37
30	45
30	48
30	53
30	64
31	55
32	42
33	62
34	37
34	39
34	42
34	45
35	36
35	37
35	42
35	48
35	49
35	53
35	55
35	61
35	64
36	54
37	39
37	42
37	45
37	53
37	54
37	56
37	58
37	62
39	41
39	42
39	55
42	45
42	53
42	56
42	57
42	62
45	46
45	54
45	59
45	62
47	62
48	49
48	53
48	59
48	64
49	53
49	56
49	64
50	59
52	61
53	61
53	64
54	61
55	56
55	59
55	62
55	64
56	57
